Moves,Pokemon,Type,Category,estPower
Curse,Machoke,Ghost,Status,0.0
Detect,Machoke,Fighting,Status,0.0
Body Slam,Machoke,Normal,Physical,85.0
Double-Edge,Machoke,Normal,Physical,120.0
Mega Kick,Machoke,Normal,Physical,90.0
Mega Punch,Machoke,Normal,Physical,68.0
Metronome,Machoke,Normal,Status,0.0
Mimic,Machoke,Normal,Status,0.0
Captivate,Machoke,Normal,Status,0.0
Endure,Machoke,Normal,Status,0.0
Natural Gift,Machoke,Normal,Physical,0.0
Headbutt,Machoke,Normal,Physical,70.0
Mud-Slap,Machoke,Ground,Special,20.0
Vacuum Wave,Machoke,Fighting,Special,40.0
Dig,Machoke,Ground,Physical,80.0
Incinerate,Machoke,Fire,Special,60.0
Power-Up Punch,Machoke,Fighting,Physical,40.0
Retaliate,Machoke,Normal,Physical,70.0
Rock Smash,Machoke,Fighting,Physical,40.0
Secret Power,Machoke,Normal,Physical,70.0
Strength,Machoke,Normal,Physical,80.0
Focus Energy,Machamp,Normal,Status,0.0
Karate Chop,Machamp,Fighting,Physical,50.0
Leer,Machamp,Normal,Status,0.0
Low Kick,Machamp,Fighting,Physical,0.0
Strength,Machamp,Normal,Physical,80.0
Wide Guard,Machamp,Rock,Status,0.0
Focus Energy,Machamp,Normal,Status,0.0
Karate Chop,Machamp,Fighting,Physical,50.0
Foresight,Machamp,Normal,Status,0.0
Low Sweep,Machamp,Fighting,Physical,65.0
Seismic Toss,Machamp,Fighting,Physical,0.0
Revenge,Machamp,Fighting,Physical,60.0
Knock Off,Machamp,Dark,Physical,65.0
Vital Throw,Machamp,Fighting,Physical,70.0
Wake-Up Slap,Machamp,Fighting,Physical,70.0
Dual Chop,Machamp,Dragon,Physical,36.0
Submission,Machamp,Fighting,Physical,64.0
Bulk Up,Machamp,Fighting,Status,0.0
Cross Chop,Machamp,Fighting,Physical,80.0
Scary Face,Machamp,Normal,Status,0.0
Dynamic Punch,Machamp,Fighting,Physical,50.0
Bullet Punch,Machamp,Steel,Physical,40.0
Close Combat,Machamp,Fighting,Physical,120.0
Counter,Machamp,Fighting,Physical,0.0
Encore,Machamp,Normal,Status,0.0
Fire Punch,Machamp,Fire,Physical,75.0
Heavy Slam,Machamp,Steel,Physical,0.0
Ice Punch,Machamp,Ice,Physical,75.0
Knock Off,Machamp,Dark,Physical,65.0
Meditate,Machamp,Psychic,Status,0.0
Power Trick,Machamp,Psychic,Status,0.0
Quick Guard,Machamp,Fighting,Status,0.0
Rolling Kick,Machamp,Fighting,Physical,51.0
Smelling Salts,Machamp,Normal,Physical,70.0
Thunder Punch,Machamp,Electric,Physical,75.0
Tickle,Machamp,Normal,Status,0.0
Dual Chop,Machamp,Dragon,Physical,36.0
Fire Punch,Machamp,Fire,Physical,75.0
Focus Punch,Machamp,Fighting,Physical,150.0
Helping Hand,Machamp,Normal,Status,0.0
Ice Punch,Machamp,Ice,Physical,75.0
Knock Off,Machamp,Dark,Physical,65.0
Low Kick,Machamp,Fighting,Physical,0.0
Role Play,Machamp,Psychic,Status,0.0
Snore,Machamp,Normal,Special,50.0
Stomping Tantrum,Machamp,Ground,Physical,75.0
Superpower,Machamp,Fighting,Physical,120.0
Throat Chop,Machamp,Dark,Physical,80.0
Thunder Punch,Machamp,Electric,Physical,75.0
Work Up,Machamp,Normal,Status,0.0
Toxic,Machamp,Poison,Status,0.0
Bulk Up,Machamp,Fighting,Status,0.0
Hidden Power,Machamp,Normal,Special,60.0
Sunny Day,Machamp,Fire,Status,0.0
Hyper Beam,Machamp,Normal,Special,135.0
Light Screen,Machamp,Psychic,Status,0.0
Protect,Machamp,Normal,Status,0.0
Rain Dance,Machamp,Water,Status,0.0
Frustration,Machamp,Normal,Physical,0.0
Smack Down,Machamp,Rock,Physical,50.0
Earthquake,Machamp,Ground,Physical,100.0
Return,Machamp,Normal,Physical,0.0
Brick Break,Machamp,Fighting,Physical,75.0
Double Team,Machamp,Normal,Status,0.0
Flamethrower,Machamp,Fire,Special,90.0
Fire Blast,Machamp,Fire,Special,93.5
Rock Tomb,Machamp,Rock,Physical,57.0
Facade,Machamp,Normal,Physical,70.0
Rest,Machamp,Psychic,Status,0.0
Attract,Machamp,Normal,Status,0.0
Thief,Machamp,Dark,Physical,60.0
Low Sweep,Machamp,Fighting,Physical,65.0
Round,Machamp,Normal,Special,60.0
Focus Blast,Machamp,Fighting,Special,84.0
Fling,Machamp,Dark,Physical,0.0
Payback,Machamp,Dark,Physical,50.0
Giga Impact,Machamp,Normal,Physical,135.0
Stone Edge,Machamp,Rock,Physical,80.0
Bulldoze,Machamp,Ground,Physical,60.0
Rock Slide,Machamp,Rock,Physical,67.5
Poison Jab,Machamp,Poison,Physical,80.0
Swagger,Machamp,Normal,Status,0.0
Sleep Talk,Machamp,Normal,Status,0.0
Substitute,Machamp,Normal,Status,0.0
Confide,Machamp,Normal,Status,0.0
Bide,Machamp,Normal,Physical,0.0
Fissure,Machamp,Ground,Physical,0.0
Rage,Machamp,Normal,Physical,20.0
Skull Bash,Machamp,Normal,Physical,130.0
Take Down,Machamp,Normal,Physical,76.5
Curse,Machamp,Ghost,Status,0.0
Detect,Machamp,Fighting,Status,0.0
Body Slam,Machamp,Normal,Physical,85.0
Double-Edge,Machamp,Normal,Physical,120.0
Mega Kick,Machamp,Normal,Physical,90.0
Mega Punch,Machamp,Normal,Physical,68.0
Metronome,Machamp,Normal,Status,0.0
Mimic,Machamp,Normal,Status,0.0
Captivate,Machamp,Normal,Status,0.0
Endure,Machamp,Normal,Status,0.0
Natural Gift,Machamp,Normal,Physical,0.0
Headbutt,Machamp,Normal,Physical,70.0
Mud-Slap,Machamp,Ground,Special,20.0
Vacuum Wave,Machamp,Fighting,Special,40.0
Dig,Machamp,Ground,Physical,80.0
Incinerate,Machamp,Fire,Special,60.0
Power-Up Punch,Machamp,Fighting,Physical,40.0
Retaliate,Machamp,Normal,Physical,70.0
Rock Smash,Machamp,Fighting,Physical,40.0
Secret Power,Machamp,Normal,Physical,70.0
Vine Whip,Bellsprout,Grass,Physical,45.0
Growth,Bellsprout,Normal,Status,0.0
Wrap,Bellsprout,Normal,Physical,13.5
Sleep Powder,Bellsprout,Grass,Status,0.0
Poison Powder,Bellsprout,Poison,Status,0.0
Stun Spore,Bellsprout,Grass,Status,0.0
Acid,Bellsprout,Poison,Special,40.0
Knock Off,Bellsprout,Dark,Physical,65.0
Sweet Scent,Bellsprout,Normal,Status,0.0
Gastro Acid,Bellsprout,Poison,Status,0.0
Razor Leaf,Bellsprout,Grass,Physical,52.25
Poison Jab,Bellsprout,Poison,Physical,80.0
Slam,Bellsprout,Normal,Physical,60.0
Wring Out,Bellsprout,Normal,Special,0.0
Acid Spray,Bellsprout,Poison,Special,40.0
Belch,Bellsprout,Poison,Special,108.0
Bullet Seed,Bellsprout,Grass,Physical,25.0
Clear Smog,Bellsprout,Poison,Special,50.0
Encore,Bellsprout,Normal,Status,0.0
Giga Drain,Bellsprout,Grass,Special,75.0
Ingrain,Bellsprout,Grass,Status,0.0
Leech Life,Bellsprout,Bug,Physical,80.0
Magical Leaf,Bellsprout,Grass,Special,60.0
Natural Gift,Bellsprout,Normal,Physical,0.0
Power Whip,Bellsprout,Grass,Physical,102.0
Synthesis,Bellsprout,Grass,Status,0.0
Tickle,Bellsprout,Normal,Status,0.0
Weather Ball,Bellsprout,Normal,Special,50.0
Worry Seed,Bellsprout,Grass,Status,0.0
Bind,Bellsprout,Normal,Physical,12.75
Gastro Acid,Bellsprout,Poison,Status,0.0
Giga Drain,Bellsprout,Grass,Special,75.0
Knock Off,Bellsprout,Dark,Physical,65.0
Seed Bomb,Bellsprout,Grass,Physical,80.0
Snore,Bellsprout,Normal,Special,50.0
Synthesis,Bellsprout,Grass,Status,0.0
Worry Seed,Bellsprout,Grass,Status,0.0
Toxic,Bellsprout,Poison,Status,0.0
Venoshock,Bellsprout,Poison,Special,65.0
Hidden Power,Bellsprout,Normal,Special,60.0
Sunny Day,Bellsprout,Fire,Status,0.0
Protect,Bellsprout,Normal,Status,0.0
Frustration,Bellsprout,Normal,Physical,0.0
Solar Beam,Bellsprout,Grass,Special,200.0
Return,Bellsprout,Normal,Physical,0.0
Double Team,Bellsprout,Normal,Status,0.0
Reflect,Bellsprout,Psychic,Status,0.0
Sludge Bomb,Bellsprout,Poison,Special,90.0
Facade,Bellsprout,Normal,Physical,70.0
Rest,Bellsprout,Psychic,Status,0.0
Attract,Bellsprout,Normal,Status,0.0
Thief,Bellsprout,Dark,Physical,60.0
Round,Bellsprout,Normal,Special,60.0
Energy Ball,Bellsprout,Grass,Special,90.0
Swords Dance,Bellsprout,Normal,Status,0.0
Infestation,Bellsprout,Bug,Special,20.0
Poison Jab,Bellsprout,Poison,Physical,80.0
Grass Knot,Bellsprout,Grass,Special,0.0
Swagger,Bellsprout,Normal,Status,0.0
Sleep Talk,Bellsprout,Normal,Status,0.0
Substitute,Bellsprout,Normal,Status,0.0
Nature Power,Bellsprout,Normal,Status,0.0
Confide,Bellsprout,Normal,Status,0.0
Bide,Bellsprout,Normal,Physical,0.0
Mega Drain,Bellsprout,Grass,Special,75.0
Rage,Bellsprout,Normal,Physical,20.0
Take Down,Bellsprout,Normal,Physical,76.5
Curse,Bellsprout,Ghost,Status,0.0
Double-Edge,Bellsprout,Normal,Physical,120.0
Mimic,Bellsprout,Normal,Status,0.0
Captivate,Bellsprout,Normal,Status,0.0
Endure,Bellsprout,Normal,Status,0.0
Sucker Punch,Bellsprout,Dark,Physical,70.0
Flash,Bellsprout,Normal,Status,0.0
Secret Power,Bellsprout,Normal,Physical,70.0
Cut,Bellsprout,Normal,Physical,47.5
Growth,Weepinbell,Normal,Status,0.0
Vine Whip,Weepinbell,Grass,Physical,45.0
Wrap,Weepinbell,Normal,Physical,13.5
Growth,Weepinbell,Normal,Status,0.0
Wrap,Weepinbell,Normal,Physical,13.5
Sleep Powder,Weepinbell,Grass,Status,0.0
Poison Powder,Weepinbell,Poison,Status,0.0
Stun Spore,Weepinbell,Grass,Status,0.0
Acid,Weepinbell,Poison,Special,40.0
Knock Off,Weepinbell,Dark,Physical,65.0
Sweet Scent,Weepinbell,Normal,Status,0.0
Gastro Acid,Weepinbell,Poison,Status,0.0
Razor Leaf,Weepinbell,Grass,Physical,52.25
Poison Jab,Weepinbell,Poison,Physical,80.0
Slam,Weepinbell,Normal,Physical,60.0
Wring Out,Weepinbell,Normal,Special,0.0
Acid Spray,Weepinbell,Poison,Special,40.0
Belch,Weepinbell,Poison,Special,108.0
Bullet Seed,Weepinbell,Grass,Physical,25.0
Clear Smog,Weepinbell,Poison,Special,50.0
Encore,Weepinbell,Normal,Status,0.0
Giga Drain,Weepinbell,Grass,Special,75.0
Ingrain,Weepinbell,Grass,Status,0.0
Leech Life,Weepinbell,Bug,Physical,80.0
Magical Leaf,Weepinbell,Grass,Special,60.0
Natural Gift,Weepinbell,Normal,Physical,0.0
Power Whip,Weepinbell,Grass,Physical,102.0
Synthesis,Weepinbell,Grass,Status,0.0
Tickle,Weepinbell,Normal,Status,0.0
Weather Ball,Weepinbell,Normal,Special,50.0
Worry Seed,Weepinbell,Grass,Status,0.0
Bind,Weepinbell,Normal,Physical,12.75
Gastro Acid,Weepinbell,Poison,Status,0.0
Giga Drain,Weepinbell,Grass,Special,75.0
Knock Off,Weepinbell,Dark,Physical,65.0
Seed Bomb,Weepinbell,Grass,Physical,80.0
Snore,Weepinbell,Normal,Special,50.0
Synthesis,Weepinbell,Grass,Status,0.0
Worry Seed,Weepinbell,Grass,Status,0.0
Toxic,Weepinbell,Poison,Status,0.0
Venoshock,Weepinbell,Poison,Special,65.0
Hidden Power,Weepinbell,Normal,Special,60.0
Sunny Day,Weepinbell,Fire,Status,0.0
Protect,Weepinbell,Normal,Status,0.0
Frustration,Weepinbell,Normal,Physical,0.0
Solar Beam,Weepinbell,Grass,Special,200.0
Return,Weepinbell,Normal,Physical,0.0
Double Team,Weepinbell,Normal,Status,0.0
Reflect,Weepinbell,Psychic,Status,0.0
Sludge Bomb,Weepinbell,Poison,Special,90.0
Facade,Weepinbell,Normal,Physical,70.0
Rest,Weepinbell,Psychic,Status,0.0
Attract,Weepinbell,Normal,Status,0.0
Thief,Weepinbell,Dark,Physical,60.0
Round,Weepinbell,Normal,Special,60.0
Energy Ball,Weepinbell,Grass,Special,90.0
Swords Dance,Weepinbell,Normal,Status,0.0
Infestation,Weepinbell,Bug,Special,20.0
Poison Jab,Weepinbell,Poison,Physical,80.0
Grass Knot,Weepinbell,Grass,Special,0.0
Swagger,Weepinbell,Normal,Status,0.0
Sleep Talk,Weepinbell,Normal,Status,0.0
Substitute,Weepinbell,Normal,Status,0.0
Nature Power,Weepinbell,Normal,Status,0.0
Confide,Weepinbell,Normal,Status,0.0
Bide,Weepinbell,Normal,Physical,0.0
Mega Drain,Weepinbell,Grass,Special,75.0
Rage,Weepinbell,Normal,Physical,20.0
Take Down,Weepinbell,Normal,Physical,76.5
Curse,Weepinbell,Ghost,Status,0.0
Double-Edge,Weepinbell,Normal,Physical,120.0
Mimic,Weepinbell,Normal,Status,0.0
Captivate,Weepinbell,Normal,Status,0.0
Endure,Weepinbell,Normal,Status,0.0
Sucker Punch,Weepinbell,Dark,Physical,70.0
Bug Bite,Weepinbell,Bug,Physical,60.0
Flash,Weepinbell,Normal,Status,0.0
Secret Power,Weepinbell,Normal,Physical,70.0
Cut,Weepinbell,Normal,Physical,47.5
Leaf Tornado,Victreebel,Grass,Special,58.5
Razor Leaf,Victreebel,Grass,Physical,52.25
Sleep Powder,Victreebel,Grass,Status,0.0
Spit Up,Victreebel,Normal,Special,0.0
Stockpile,Victreebel,Normal,Status,0.0
Swallow,Victreebel,Normal,Status,0.0
Sweet Scent,Victreebel,Normal,Status,0.0
Vine Whip,Victreebel,Grass,Physical,45.0
Leaf Storm,Victreebel,Grass,Special,117.0
Leaf Blade,Victreebel,Grass,Physical,90.0
Acid Spray,Victreebel,Poison,Special,40.0
Belch,Victreebel,Poison,Special,108.0
Bullet Seed,Victreebel,Grass,Physical,25.0
Clear Smog,Victreebel,Poison,Special,50.0
Encore,Victreebel,Normal,Status,0.0
Giga Drain,Victreebel,Grass,Special,75.0
Ingrain,Victreebel,Grass,Status,0.0
Leech Life,Victreebel,Bug,Physical,80.0
Magical Leaf,Victreebel,Grass,Special,60.0
Natural Gift,Victreebel,Normal,Physical,0.0
Power Whip,Victreebel,Grass,Physical,102.0
Synthesis,Victreebel,Grass,Status,0.0
Tickle,Victreebel,Normal,Status,0.0
Weather Ball,Victreebel,Normal,Special,50.0
Worry Seed,Victreebel,Grass,Status,0.0
Bind,Victreebel,Normal,Physical,12.75
Gastro Acid,Victreebel,Poison,Status,0.0
Giga Drain,Victreebel,Grass,Special,75.0
Knock Off,Victreebel,Dark,Physical,65.0
Seed Bomb,Victreebel,Grass,Physical,80.0
Snore,Victreebel,Normal,Special,50.0
Synthesis,Victreebel,Grass,Status,0.0
Worry Seed,Victreebel,Grass,Status,0.0
Toxic,Victreebel,Poison,Status,0.0
Venoshock,Victreebel,Poison,Special,65.0
Hidden Power,Victreebel,Normal,Special,60.0
Sunny Day,Victreebel,Fire,Status,0.0
Hyper Beam,Victreebel,Normal,Special,135.0
Protect,Victreebel,Normal,Status,0.0
Frustration,Victreebel,Normal,Physical,0.0
Solar Beam,Victreebel,Grass,Special,200.0
Return,Victreebel,Normal,Physical,0.0
Double Team,Victreebel,Normal,Status,0.0
Reflect,Victreebel,Psychic,Status,0.0
Sludge Bomb,Victreebel,Poison,Special,90.0
Facade,Victreebel,Normal,Physical,70.0
Rest,Victreebel,Psychic,Status,0.0
Attract,Victreebel,Normal,Status,0.0
Thief,Victreebel,Dark,Physical,60.0
Round,Victreebel,Normal,Special,60.0
Energy Ball,Victreebel,Grass,Special,90.0
Giga Impact,Victreebel,Normal,Physical,135.0
Swords Dance,Victreebel,Normal,Status,0.0
Infestation,Victreebel,Bug,Special,20.0
Poison Jab,Victreebel,Poison,Physical,80.0
Grass Knot,Victreebel,Grass,Special,0.0
Swagger,Victreebel,Normal,Status,0.0
Sleep Talk,Victreebel,Normal,Status,0.0
Substitute,Victreebel,Normal,Status,0.0
Nature Power,Victreebel,Normal,Status,0.0
Confide,Victreebel,Normal,Status,0.0
Bide,Victreebel,Normal,Physical,0.0
Mega Drain,Victreebel,Grass,Special,75.0
Rage,Victreebel,Normal,Physical,20.0
Take Down,Victreebel,Normal,Physical,76.5
Curse,Victreebel,Ghost,Status,0.0
Body Slam,Victreebel,Normal,Physical,85.0
Double-Edge,Victreebel,Normal,Physical,120.0
Mimic,Victreebel,Normal,Status,0.0
Captivate,Victreebel,Normal,Status,0.0
Endure,Victreebel,Normal,Status,0.0
Sucker Punch,Victreebel,Dark,Physical,70.0
Bug Bite,Victreebel,Bug,Physical,60.0
Flash,Victreebel,Normal,Status,0.0
Secret Power,Victreebel,Normal,Physical,70.0
Cut,Victreebel,Normal,Physical,47.5
Poison Sting,Tentacool,Poison,Physical,15.0
Supersonic,Tentacool,Normal,Status,0.0
Constrict,Tentacool,Normal,Physical,10.0
Acid,Tentacool,Poison,Special,40.0
Toxic Spikes,Tentacool,Poison,Status,0.0
Water Pulse,Tentacool,Water,Special,60.0
Wrap,Tentacool,Normal,Physical,13.5
Acid Spray,Tentacool,Poison,Special,40.0
Bubble Beam,Tentacool,Water,Special,65.0
Barrier,Tentacool,Psychic,Status,0.0
Poison Jab,Tentacool,Poison,Physical,80.0
Brine,Tentacool,Water,Special,65.0
Screech,Tentacool,Normal,Status,0.0
Hex,Tentacool,Ghost,Special,65.0
Sludge Wave,Tentacool,Poison,Special,95.0
Hydro Pump,Tentacool,Water,Special,88.0
Wring Out,Tentacool,Normal,Special,0.0
Acupressure,Tentacool,Normal,Status,0.0
Aqua Ring,Tentacool,Water,Status,0.0
Aurora Beam,Tentacool,Ice,Special,65.0
Bubble,Tentacool,Water,Special,40.0
Confuse Ray,Tentacool,Ghost,Status,0.0
Haze,Tentacool,Ice,Status,0.0
Knock Off,Tentacool,Dark,Physical,65.0
Mirror Coat,Tentacool,Psychic,Special,0.0
Muddy Water,Tentacool,Water,Special,76.5
Rapid Spin,Tentacool,Normal,Physical,20.0
Tickle,Tentacool,Normal,Status,0.0
Bind,Tentacool,Normal,Physical,12.75
Giga Drain,Tentacool,Grass,Special,75.0
Icy Wind,Tentacool,Ice,Special,52.25
Knock Off,Tentacool,Dark,Physical,65.0
Magic Coat,Tentacool,Psychic,Status,0.0
Snore,Tentacool,Normal,Special,50.0
Water Pulse,Tentacool,Water,Special,60.0
Toxic,Tentacool,Poison,Status,0.0
Hail,Tentacool,Ice,Status,0.0
Venoshock,Tentacool,Poison,Special,65.0
Hidden Power,Tentacool,Normal,Special,60.0
Ice Beam,Tentacool,Ice,Special,90.0
Blizzard,Tentacool,Ice,Special,77.0
Protect,Tentacool,Normal,Status,0.0
Rain Dance,Tentacool,Water,Status,0.0
Safeguard,Tentacool,Normal,Status,0.0
Frustration,Tentacool,Normal,Physical,0.0
Return,Tentacool,Normal,Physical,0.0
Double Team,Tentacool,Normal,Status,0.0
Sludge Wave,Tentacool,Poison,Special,95.0
Sludge Bomb,Tentacool,Poison,Special,90.0
Facade,Tentacool,Normal,Physical,70.0
Rest,Tentacool,Psychic,Status,0.0
Attract,Tentacool,Normal,Status,0.0
Thief,Tentacool,Dark,Physical,60.0
Round,Tentacool,Normal,Special,60.0
Scald,Tentacool,Water,Special,80.0
Payback,Tentacool,Dark,Physical,50.0
Swords Dance,Tentacool,Normal,Status,0.0
Infestation,Tentacool,Bug,Special,20.0
Poison Jab,Tentacool,Poison,Physical,80.0
Swagger,Tentacool,Normal,Status,0.0
Sleep Talk,Tentacool,Normal,Status,0.0
Substitute,Tentacool,Normal,Status,0.0
Surf,Tentacool,Water,Special,90.0
Waterfall,Tentacool,Water,Physical,80.0
Dazzling Gleam,Tentacool,Fairy,Special,80.0
Confide,Tentacool,Normal,Status,0.0
Water Gun,Tentacool,Water,Special,40.0
Bide,Tentacool,Normal,Physical,0.0
Mega Drain,Tentacool,Grass,Special,75.0
Rage,Tentacool,Normal,Physical,20.0
Reflect,Tentacool,Psychic,Status,0.0
Skull Bash,Tentacool,Normal,Physical,130.0
Take Down,Tentacool,Normal,Physical,76.5
Curse,Tentacool,Ghost,Status,0.0
Double-Edge,Tentacool,Normal,Physical,120.0
Mimic,Tentacool,Normal,Status,0.0
Captivate,Tentacool,Normal,Status,0.0
Endure,Tentacool,Normal,Status,0.0
Natural Gift,Tentacool,Normal,Physical,0.0
Whirlpool,Tentacool,Water,Special,29.75
Secret Power,Tentacool,Normal,Physical,70.0
Cut,Tentacool,Normal,Physical,47.5
Dive,Tentacool,Water,Physical,80.0
Acid,Tentacruel,Poison,Special,40.0
Constrict,Tentacruel,Normal,Physical,10.0
Poison Sting,Tentacruel,Poison,Physical,15.0
Reflect Type,Tentacruel,Normal,Status,0.0
Supersonic,Tentacruel,Normal,Status,0.0
Wring Out,Tentacruel,Normal,Special,0.0
Supersonic,Tentacruel,Normal,Status,0.0
Constrict,Tentacruel,Normal,Physical,10.0
Acid,Tentacruel,Poison,Special,40.0
Toxic Spikes,Tentacruel,Poison,Status,0.0
Water Pulse,Tentacruel,Water,Special,60.0
Wrap,Tentacruel,Normal,Physical,13.5
Acid Spray,Tentacruel,Poison,Special,40.0
Bubble Beam,Tentacruel,Water,Special,65.0
Barrier,Tentacruel,Psychic,Status,0.0
Poison Jab,Tentacruel,Poison,Physical,80.0
Brine,Tentacruel,Water,Special,65.0
Screech,Tentacruel,Normal,Status,0.0
Hex,Tentacruel,Ghost,Special,65.0
Sludge Wave,Tentacruel,Poison,Special,95.0
Hydro Pump,Tentacruel,Water,Special,88.0
Wring Out,Tentacruel,Normal,Special,0.0
Acupressure,Tentacruel,Normal,Status,0.0
Aqua Ring,Tentacruel,Water,Status,0.0
Aurora Beam,Tentacruel,Ice,Special,65.0
Bubble,Tentacruel,Water,Special,40.0
Confuse Ray,Tentacruel,Ghost,Status,0.0
Haze,Tentacruel,Ice,Status,0.0
Knock Off,Tentacruel,Dark,Physical,65.0
Mirror Coat,Tentacruel,Psychic,Special,0.0
Muddy Water,Tentacruel,Water,Special,76.5
Rapid Spin,Tentacruel,Normal,Physical,20.0
Tickle,Tentacruel,Normal,Status,0.0
Bind,Tentacruel,Normal,Physical,12.75
Giga Drain,Tentacruel,Grass,Special,75.0
Icy Wind,Tentacruel,Ice,Special,52.25
Knock Off,Tentacruel,Dark,Physical,65.0
Magic Coat,Tentacruel,Psychic,Status,0.0
Snore,Tentacruel,Normal,Special,50.0
Water Pulse,Tentacruel,Water,Special,60.0
Toxic,Tentacruel,Poison,Status,0.0
Hail,Tentacruel,Ice,Status,0.0
Venoshock,Tentacruel,Poison,Special,65.0
Hidden Power,Tentacruel,Normal,Special,60.0
Ice Beam,Tentacruel,Ice,Special,90.0
Blizzard,Tentacruel,Ice,Special,77.0
Hyper Beam,Tentacruel,Normal,Special,135.0
Protect,Tentacruel,Normal,Status,0.0
Rain Dance,Tentacruel,Water,Status,0.0
Safeguard,Tentacruel,Normal,Status,0.0
Frustration,Tentacruel,Normal,Physical,0.0
Return,Tentacruel,Normal,Physical,0.0
Double Team,Tentacruel,Normal,Status,0.0
Sludge Wave,Tentacruel,Poison,Special,95.0
Sludge Bomb,Tentacruel,Poison,Special,90.0
Facade,Tentacruel,Normal,Physical,70.0
Rest,Tentacruel,Psychic,Status,0.0
Attract,Tentacruel,Normal,Status,0.0
Thief,Tentacruel,Dark,Physical,60.0
Round,Tentacruel,Normal,Special,60.0
Scald,Tentacruel,Water,Special,80.0
Payback,Tentacruel,Dark,Physical,50.0
Giga Impact,Tentacruel,Normal,Physical,135.0
Swords Dance,Tentacruel,Normal,Status,0.0
Infestation,Tentacruel,Bug,Special,20.0
Poison Jab,Tentacruel,Poison,Physical,80.0
Swagger,Tentacruel,Normal,Status,0.0
Sleep Talk,Tentacruel,Normal,Status,0.0
Substitute,Tentacruel,Normal,Status,0.0
Surf,Tentacruel,Water,Special,90.0
Waterfall,Tentacruel,Water,Physical,80.0
Dazzling Gleam,Tentacruel,Fairy,Special,80.0
Confide,Tentacruel,Normal,Status,0.0
Water Gun,Tentacruel,Water,Special,40.0
Bide,Tentacruel,Normal,Physical,0.0
Mega Drain,Tentacruel,Grass,Special,75.0
Rage,Tentacruel,Normal,Physical,20.0
Reflect,Tentacruel,Psychic,Status,0.0
Skull Bash,Tentacruel,Normal,Physical,130.0
Take Down,Tentacruel,Normal,Physical,76.5
Curse,Tentacruel,Ghost,Status,0.0
Double-Edge,Tentacruel,Normal,Physical,120.0
Mimic,Tentacruel,Normal,Status,0.0
Captivate,Tentacruel,Normal,Status,0.0
Endure,Tentacruel,Normal,Status,0.0
Natural Gift,Tentacruel,Normal,Physical,0.0
Whirlpool,Tentacruel,Water,Special,29.75
Secret Power,Tentacruel,Normal,Physical,70.0
Cut,Tentacruel,Normal,Physical,47.5
Dive,Tentacruel,Water,Physical,80.0
Defense Curl,Geodude,Normal,Status,0.0
Tackle,Geodude,Normal,Physical,40.0
Mud Sport,Geodude,Ground,Status,0.0
Rock Polish,Geodude,Rock,Status,0.0
Rollout,Geodude,Rock,Physical,27.0
Magnitude,Geodude,Ground,Physical,0.0
Rock Throw,Geodude,Rock,Physical,45.0
Smack Down,Geodude,Rock,Physical,50.0
Bulldoze,Geodude,Ground,Physical,60.0
Self-Destruct,Geodude,Normal,Physical,200.0
Stealth Rock,Geodude,Rock,Status,0.0
Rock Blast,Geodude,Rock,Physical,22.5
Earthquake,Geodude,Ground,Physical,100.0
Explosion,Geodude,Normal,Physical,250.0
Double-Edge,Geodude,Normal,Physical,120.0
Stone Edge,Geodude,Rock,Physical,80.0
Autotomize,Geodude,Steel,Status,0.0
Block,Geodude,Normal,Status,0.0
Curse,Geodude,Ghost,Status,0.0
Endure,Geodude,Normal,Status,0.0
Flail,Geodude,Normal,Physical,0.0
Focus Punch,Geodude,Fighting,Physical,150.0
Hammer Arm,Geodude,Fighting,Physical,90.0
Mega Punch,Geodude,Normal,Physical,68.0
Rock Climb,Geodude,Normal,Physical,76.5
Wide Guard,Geodude,Rock,Status,0.0
Block,Geodude,Normal,Status,0.0
Earth Power,Geodude,Ground,Special,90.0
Fire Punch,Geodude,Fire,Physical,75.0
Focus Punch,Geodude,Fighting,Physical,150.0
Iron Defense,Geodude,Steel,Status,0.0
Snore,Geodude,Normal,Special,50.0
Stealth Rock,Geodude,Rock,Status,0.0
Superpower,Geodude,Fighting,Physical,120.0
Thunder Punch,Geodude,Electric,Physical,75.0
Toxic,Geodude,Poison,Status,0.0
Hidden Power,Geodude,Normal,Special,60.0
Sunny Day,Geodude,Fire,Status,0.0
Protect,Geodude,Normal,Status,0.0
Frustration,Geodude,Normal,Physical,0.0
Smack Down,Geodude,Rock,Physical,50.0
Earthquake,Geodude,Ground,Physical,100.0
Return,Geodude,Normal,Physical,0.0
Brick Break,Geodude,Fighting,Physical,75.0
Double Team,Geodude,Normal,Status,0.0
Flamethrower,Geodude,Fire,Special,90.0
Sandstorm,Geodude,Rock,Status,0.0
Fire Blast,Geodude,Fire,Special,93.5
Rock Tomb,Geodude,Rock,Physical,57.0
Facade,Geodude,Normal,Physical,70.0
Rest,Geodude,Psychic,Status,0.0
Attract,Geodude,Normal,Status,0.0
Round,Geodude,Normal,Special,60.0
Fling,Geodude,Dark,Physical,0.0
Explosion,Geodude,Normal,Physical,250.0
Rock Polish,Geodude,Rock,Status,0.0
Stone Edge,Geodude,Rock,Physical,80.0
Gyro Ball,Geodude,Steel,Physical,0.0
Bulldoze,Geodude,Ground,Physical,60.0
Rock Slide,Geodude,Rock,Physical,67.5
